time,opening_price,closing_price,high,low,volume,opening_price_log_return,closing_price_log_return,high_log_return,low_log_return
1701133200000,37265.897995720654,37270.378642281445,37172.84089684804,37199.87843154729,213069312.39950287,0.00049862786026005,-0.0020162012436595613,-0.0006381059182461592,-0.0016853435790023248
1701136800000,37200.077395673725,37207.373133238696,37128.12397202552,37180.513200266934,159541328.3394252,-0.0017678038014669127,-0.0016919287322940651,-0.0012036702430539804,-0.000520707979429966
1701140400000,37180.96362223593,37197.08574724869,37108.3837879419,37139.44140307493,146895502.74440628,-0.0005139420905364354,-0.00027652606336631407,-0.0005318187814735224,-0.001105269818648092
1701144000000,37134.54868660854,37147.84598692367,36984.83715269409,36995.43311581395,224019276.24123558,-0.0012491319839045237,-0.0013246301093110774,-0.003334900229249836,-0.0038850397826485582
1701147600000,36993.62197313854,37018.20291058994,36890.22579502756,36930.719045659185,323881720.31546676,-0.0038022490504839032,-0.0034960257504464487,-0.002561389611539271,-0.0017507765464010597
1701151200000,36921.2379537145,37116.31560265421,36905.664578958225,37114.99497721351,258238623.65325773,-0.001958578901038793,0.0026468843748723675,0.0004184185346274618,0.004977366061661726
1701154800000,37111.14171238042,37151.43289284097,37000.37007502606,37110.05014180195,244257905.54242438,0.005130300445405735,0.0009456942889849965,0.0025628637322739445,-0.00013323900068895546
1701158400000,37103.682235320506,37109.52850829989,36937.499816663134,36946.1752140058,236484475.3582751,-0.00020102391107984293,-0.0011285711415025949,-0.001700624419053577,-0.004425696678184922
1701162000000,36941.274896518364,37137.67763827635,36922.20272609101,37087.329331169116,223158207.25652382,-0.004386729509531522,0.0007582542909314512,-0.0004142202111358045,0.0038132542575925327
1701165600000,37091.56469072479,37105.89183110776,37019.42589821652,37105.89183110776,202516424.3839397,0.0040600901301778795,-0.000856257567835594,0.0026297291515769003,0.0005003826504675413
1701169200000,37104.86343267111,37254.160981568064,37092.906550097054,37251.36675458819,278714690.4128361,0.00035847391646996247,0.00398787632196571,0.00198295407878559,0.003912869082473913
1701172800000,37253.79847770829,37282.145399823305,37169.403079688585,37204.39304168433,267182224.24005342,0.00400586133136943,0.0007508936497858811,0.002060171762206665,-0.001261788725672074
1701176400000,37206.59303099287,37444.10281205368,37149.27918017761,37417.57133873527,353080969.8542544,-0.0012679345913480852,0.004334692820747116,-0.0005415569649752745,0.005713569154930883
1701180000000,37418.39764376847,37459.20406748585,37357.344349161096,37383.821423324065,342647935.1905413,0.005676521487149168,0.0004032199983121979,0.00558516008357057,-0.0009023874143302815
1701183600000,37386.06812429684,37552.13822339814,37332.373714100766,37531.00382102579,500284594.6417433,-0.0008643741026041002,0.0024778706959275084,-0.0006686498928682108,0.0039293313864631925
1701187200000,37532.29489290388,37925.5795222813,37529.83126535456,37883.25474906517,783819784.8506101,0.0039036345271309947,0.009895485908502429,0.005275238933029916,0.009341827300348618
1701190800000,37886.463648220604,38277.71433052977,37809.8484424092,38235.1955679165,805677299.0398728,0.009392129111139548,0.009242049704713639,0.007433492352084757,0.009247254123116938
1701194400000,38236.412129070755,38256.64545548168,37915.643504063984,38026.356616305864,740460241.059435,0.009194370090635631,-0.0005505729881119823,0.002794174795502138,-0.005476926909285249
1701198000000,38025.377533524384,38380.397535456614,38000.29435204516,38155.67000352516,944541735.2718464,-0.005534492047883348,0.003229565826325309,0.0022301215121772735,0.0033948561662671857
1701201600000,38150.23811066988,38325.100721280185,38096.61562171663,38266.182491735686,556147898.4060575,0.003278232487145041,-0.0014417955690863564,0.0025315435579697475,0.00289217184968477
1701205200000,38286.55341498633,38286.55341498633,37957.87235553813,37971.550430255396,384074970.47504795,0.0035667496269576925,-0.001006304066433439,-0.003648526833277053,-0.0077293360394551985
1701208800000,37975.674422328426,38056.874916931665,37833.31111187246,37874.943433361776,265770544.67896318,-0.008152940806849494,-0.006016999655848606,-0.003286961625742642,-0.0025474361230469534
